Place,Move,Name,Artist,Peak,Weeks,Points
1,=,Choosin' Texas,Ella Langley,1(x10),26,77.85
2,2,Be Her,Ella Langley,2,9,48.62
3,-1,I Just Might,Bruno Mars,1(x2),14,42.3
4,-1,Man I Need,Olivia Dean,2,34,38.02
5,=,Ordinary,Alex Warren,1(x5),62,34.91
6,=,Stateside,PinkPantheress feat. Zara Larsson,4,13,33.78
7,=,Babydoll,Dominic Fike,7,9,31.97
8,5,Risk It All,Bruno Mars,3,7,30.83
9,=,So Easy (To Fall In Love),Olivia Dean,9,29,30.48
10,4,Dracula,Tame Impala,10,29,30.38
11,-3,SWIM,BTS,2,4,28.65
12,-2,Sleepless In A Hotel Room,Luke Combs,9,14,28.59
13,20,Loving Life Again,Ella Langley,13,4,28.53
14,N,Bottom Of Your Boots,Ella Langley,14,1,28.53
15,-3,Golden,HUNTR/X,1(x13),43,28.14
16,-5,iloveitiloveitiloveit,Bella Kay,11,9,28.03
17,6,YUKON,Justin Bieber,13,40,27.92
18,-3,Be By You,Luke Combs,9,9,27.85
19,-3,E85,Don Toliver,12,11,25.92
20,R,DAISIES,Justin Bieber,1(x1),30,25.72
21,-4,The Fate Of Ophelia,Taylor Swift,1(x12),28,24.15
22,14,Dandelion,Ella Langley,22,11,24.1
23,-5,WHERE IS MY HUSBAND!,RAYE,12,29,23.44
24,N,Beauty and a Beat,Justin Bieber feat. Nicki Minaj,24,1,23.38
25,-5,Homewrecker,sombr,20,10,23.28
26,N,PINKY UP,KATSEYE,26,1,22.59
27,-6,Folded,Kehlani,6,44,21.19
28,-6,Opalite,Taylor Swift,2,28,20.96
29,-2,White Keys,Dominic Fike,27,8,20.04
30,-6,American Girls,Harry Styles,2,6,19.52
31,-3,POP DAT THANG,DaBaby,28,12,19.37
32,-7,Body,Don Toliver,10,11,19.33
33,1,Earrings,Malcolm Todd,33,7,19.15
34,14,Freakin' Out,Dexter and The Moonrocks,34,4,18.7
35,-9,Die On This Hill,SIENNA SPIRO,15,16,18.15
36,-4,Change My Mind,Riley Green,32,10,17.98
37,-8,Lush Life,Zara Larsson,28,14,17.67
38,-8,FEVER DREAM,Alex Warren,19,7,17.63
39,=,I Ain't Comin' Back,Morgan Wallen & Post Malone,7,41,17.55
40,-5,The Fall,Cody Johnson,22,29,16.7
41,-3,Let 'Em Know,T.I.,36,11,16.57
42,1,Motion Party,BossMan Dlow,34,5,16.38
43,N,Baby,Justin Bieber,43,1,15.63
44,1,Midnight Sun,Zara Larsson,35,12,15.54
45,-3,The Great Divide,Noah Kahan,3,11,15.29
46,-2,What You Saying,Lil Uzi Vert,8,16,14.49
47,-1,Raindance,Dave & Tems,45,11,13.86
48,1,McArthur,"HARDY, Eric Church, Morgan Wallen & Tim McGraw",35,11,13.63
49,N,Broken,Ella Langley,49,1,13.49
50,N,You & Me Time,Ella Langley,50,1,13.32
51,N,We Know Us,Ella Langley,51,1,13.32
52,-12,FDO,Pooh Shiesty,2,17,13.14
53,N,RUNWAY,Lady Gaga & Doechii,53,1,13.02
54,N,Obvious,Chris Brown,54,1,12.47
55,N,Boston,STELLA LEFTY,55,1,12.43
56,-4,In My Room,Julia Wolf,52,6,12.34
57,-16,Brunette,Tucker Wetmore,41,17,12.33
58,-5,What You Need,Tems,53,4,11.87
59,-5,Don't We,Morgan Wallen,43,9,11.8
60,-9,Dry Spell,Kacey Musgraves,51,5,11.77
61,R,House Tour,Sabrina Carpenter,22,6,11.75
62,N,Low Lights,Ella Langley,62,1,11.51
63,-32,FATHER,Kanye West & Travis Scott,19,3,11.5
64,3,When Did You Get Hot?,Sabrina Carpenter,13,31,11.46
65,N,Speaking Terms,Ella Langley,65,1,11.3
66,-16,Body to Body,BTS,21,4,11.15
67,-20,Porch Light,Noah Kahan,19,5,10.82
68,-13,Go Away,Weezer,55,3,10.82
69,-13,Elizabeth Taylor,Taylor Swift,3,23,10.66
70,-11,Rein Me In,Sam Fender & Olivia Dean,59,5,10.65
71,-14,Rethink Some Things,Luke Combs,37,4,10.58
72,N,One of Them,"DJ Khaled, Lil Baby & Future",72,1,10.57
73,N,Butterfly Season,Ella Langley,73,1,10.22
74,N,Somethin' Simple,Ella Langley,74,1,10.17
75,-11,Turn This Truck Around,Jordan Davis,64,7,9.99
76,-18,Days Like These,Luke Combs,38,26,9.87
77,N,Last Call For Us,Ella Langley,77,1,9.72
78,-9,dano,Peso Pluma & Tito Double P,69,9,9.68
79,-17,Beautiful Things,Megan Moroney,29,19,9.66
80,N,Mr. Know It All,Teddy Swims,80,1,9.53
81,-6,What He'll Never Have,Dylan Scott,75,8,9.29
82,N,I Gotta Quit,Ella Langley,82,1,9.28
83,-20,Jane!,The Long Faces,63,2,9.23
84,-23,Who Knows,Daniel Caesar,39,16,9.1
85,N,It Wasn't God Who Made Honky Tonk Angels,Ella Langley,85,1,9.05
86,-49,ALL THE LOVE,Kanye West & Andre Troutman,27,3,8.86
87,-27,The Visitor,SIENNA SPIRO,36,5,8.79
88,-4,Mrs. Trendsetter,Lil Baby,65,8,8.64
89,-18,Zoo,Shakira,52,10,8.61
90,-25,2,BTS,49,4,8.58
91,-19,Hooligan,BTS,31,4,8.37
92,-4,Self Aware,Temper City,88,2,8.36
93,-25,CHANEL,Tyla,24,19,8.21
94,-28,Aperture,Harry Styles,2,12,8.2
95,-15,Rocky Mountain Low,Corey Kent & Koe Wetzel,78,4,8.15
96,-6,Be Like A Woman,Chris Rainbow,90,2,7.88
97,-1,Don't Tell On Me,Jason Aldean,96,2,7.55
98,1,Hate How You Look,Josh Ross,98,2,7.06
99,-1,Ever Since U Left Me,Max B & French Montana,98,4,6.62
100,-23,Ain't A Bad Life,Thomas Rhett & Jordan Davis,77,12,6.6
