Place,Move,Name,Artist,Peak,Weeks,Points
1,1,Choosin' Texas,Ella Langley,1(x3),19,54.56
2,2,Man I Need,Olivia Dean,2,27,41.28
3,-2,DtMF,Bad Bunny,1(x3),25,39.07
4,2,Ordinary,Alex Warren,1(x5),55,38.79
5,2,I Just Might,Bruno Mars,1(x2),7,37.72
6,-3,Opalite,Taylor Swift,2,21,32.11
7,4,Golden,HUNTR/X,1(x13),36,31.66
8,1,The Fate Of Ophelia,Taylor Swift,1(x12),21,30.76
9,3,Be By You,Luke Combs,9,2,30.09
10,4,So Easy (To Fall In Love),Olivia Dean,9,22,27.88
11,-3,BAILE INoLVIDABLE,Bad Bunny,2,24,27.12
12,5,E85,Don Toliver,12,4,26.85
13,21,Stateside,PinkPantheress feat. Zara Larsson,13,6,26.74
14,1,Be Her,Ella Langley,14,2,26.63
15,-10,Titi Me Pregunto,Bad Bunny,5,32,26.29
16,=,Sleepless In A Hotel Room,Luke Combs,13,7,24.53
17,-7,NUEVAYoL,Bad Bunny,3,24,24.24
18,=,End Of Beginning,Djo,6,30,24.09
19,1,back to friends,sombr,6,48,23.28
20,-1,Body,Don Toliver,10,4,23.16
21,=,Folded,Kehlani,6,37,22.96
22,3,Homewrecker,sombr,22,3,22.49
23,4,WHERE IS MY HUSBAND!,RAYE,12,22,21.65
24,4,Die On This Hill,SIENNA SPIRO,15,9,21.58
25,-2,What You Saying,Lil Uzi Vert,8,9,21.22
26,-4,The Great Divide,Noah Kahan,3,4,21.1
27,-3,20 Cigarettes,Morgan Wallen,16,39,20.54
28,-2,YUKON,Justin Bieber,13,33,20.2
29,26,Beautiful Things,Megan Moroney,29,12,17.8
30,6,Babydoll,Dominic Fike,30,2,17.78
31,R,Wish I Didn't,Megan Moroney,31,3,17.69
32,N,Good Flirts,Baby Keem feat. Kendrick Lamar & Momo Boyd,32,1,17.42
33,N,Medicine,Megan Moroney,33,1,17.35
34,-4,A Couple Minutes,Olivia Dean,22,18,17.12
35,N,Ca$ino,Baby Keem,35,1,16.89
36,23,iloveitiloveitiloveit,Bella Kay,36,2,16.66
37,-5,Dandelion,Ella Langley,32,4,16.62
38,-7,Aperture,Harry Styles,2,5,16.44
39,-6,Lush Life,Zara Larsson,28,7,16.28
40,1,Let 'Em Know,T.I.,40,4,15.81
41,-6,McArthur,"HARDY, Eric Church, Morgan Wallen & Tim McGraw",35,4,15.04
42,3,butterflies.,Brent Faiyaz,42,2,14.86
43,1,Dracula,Tame Impala,25,22,14.66
44,N,House Money,Baby Keem,44,1,14.64
45,-2,The Fall,Cody Johnson,22,22,14.32
46,R,6 Months Later,Megan Moroney,24,32,14.21
47,6,Amen,Shaboozey & Jelly Roll,44,41,14.16
48,-8,12 to 12,sombr,28,28,13.97
49,-20,VOY A LLeVARTE PA PR,Bad Bunny,12,19,13.77
50,N,Birds & the Bees,Baby Keem,50,1,13.73
51,-5,Better Me For You (Brown Eyes),Max McNown,26,37,13.47
52,36,Change My Mind,Riley Green,52,3,13.09
53,-11,Days Like These,Luke Combs,38,19,12.64
54,N,Drag Path,twenty one pilots,54,1,12.62
55,N,Wedding Dress,Megan Moroney,55,1,12.62
56,1,CHANEL,Tyla,24,12,12.61
57,9,It Depends,Chris Brown feat. Bryson Tiller,11,31,12.53
58,-11,TIT FOR TAT,Tate McRae,3,22,12.49
59,25,BOO,H3adband,59,7,12.37
60,5,Brunette,Tucker Wetmore,50,10,12.18
61,N,Cloud 9,Megan Moroney,61,1,11.98
62,-1,Midnight Sun,Zara Larsson,61,5,11.87
63,-9,I Ain't Comin' Back,Morgan Wallen & Post Malone,7,34,11.62
64,-14,Travelin' Soldier,Cody Johnson,9,16,11.59
65,-9,I Thought I Saw Your Face Today,She & Him,19,11,11.48
66,-28,Two Six,J. Cole,14,3,11.36
67,N,I Only Miss You,Megan Moroney & Ed Sheeran,67,1,11.07
68,N,Circus Circus Free$tyle,Baby Keem,68,1,11.04
69,11,POP DAT THANG,DaBaby,69,5,11.03
70,-6,Who Knows,Daniel Caesar,39,9,10.92
71,-34,LA CANCION,Bad Bunny & J Balvin,21,3,10.89
72,N,Who Hurt You?,Megan Moroney,72,1,10.85
73,-11,How Far Does a Goodbye Go,Jason Aldean,44,19,10.73
74,18,Bloodline,Alex Warren & Jelly Roll,28,22,10.61
75,-24,ATM,Don Toliver,22,5,10.6
76,N,$ex Appeal,Baby Keem feat. Too Short,76,1,10.59
77,-25,Secondhand,Don Toliver feat. Rema,26,4,10.58
78,5,When Did You Get Hot?,Sabrina Carpenter,13,24,10.49
79,-19,FDO,Pooh Shiesty,2,11,10.46
80,9,Gone Gone Gone,"David Guetta, Teddy Swims & Tones And I",48,14,10.28
81,-18,4 Raws,EsDeeKid,11,12,10.13
82,-12,Say Why,Zach Bryan,20,7,10.13
83,N,White Keys,Dominic Fike,83,1,10.13
84,9,Raindance,Dave & Tems,81,4,10.05
85,-10,You Stole The Show,SIENNA SPIRO,42,8,9.91
86,-18,Tiramisu,Don Toliver,30,5,9.7
87,N,Dramatic Girl,Baby Keem feat. Che Ecru,87,1,9.68
88,N,No Security,Baby Keem,88,1,9.68
89,N,Stupid,Megan Moroney,89,1,9.48
90,-19,Nice To Each Other,Olivia Dean,43,17,9.46
91,=,How It's Done,HUNTR/X,4,29,9.26
92,N,Highway 95 pt.2,Baby Keem,92,1,9.23
93,N,I am not a Lyricist,Baby Keem,93,1,9.23
94,-16,Gemstone,Don Toliver,38,4,9.23
95,-28,WHO TF IZ U,J. Cole,32,3,9.04
96,R,The Hardest Part,Olivia Dean,96,2,9.01
97,-20,Rendezvous,Don Toliver feat. Yeat,28,4,8.78
98,=,Ends of the Earth,Ty Myers,88,7,8.65
99,=,Ain't A Bad Life,Thomas Rhett & Jordan Davis,97,5,7.84
100,=,Favorite Country Song,HARDY,46,17,6.68
