Place,Move,Name,Artist,Peak,Weeks,Points
1,1,Choosin' Texas,Ella Langley,1(x1),15,47.2
2,N,Aperture,Harry Styles,2,1,46.6
3,-2,I Just Might,Bruno Mars,1(x2),3,39.82
4,-1,The Fate Of Ophelia,Taylor Swift,1(x12),17,39.68
5,-1,Man I Need,Olivia Dean,2,23,35.44
6,=,Ordinary,Alex Warren,1(x5),51,34.63
7,-2,Golden,HUNTR/X,1(x13),32,34.48
8,-1,End Of Beginning,Djo,6,26,31.6
9,-1,What You Saying,Lil Uzi Vert,8,5,27.84
10,-1,Opalite,Taylor Swift,2,17,26.65
11,-1,back to friends,sombr,6,44,26.14
12,1,WHERE IS MY HUSBAND!,RAYE,12,18,24.29
13,-1,So Easy (To Fall In Love),Olivia Dean,9,18,22.79
14,-3,Folded,Kehlani,6,33,22.74
15,-1,I Got Better,Morgan Wallen,6,33,21.41
16,-1,Die On This Hill,SIENNA SPIRO,15,5,21.11
17,1,Sleepless In A Hotel Room,Luke Combs,13,3,20.21
18,1,20 Cigarettes,Morgan Wallen,16,35,19.35
19,-3,Plastic Cigarette,Zach Bryan,12,3,17.85
20,13,Stateside,PinkPantheress feat. Zara Larsson,20,2,16.23
21,1,MUTT,Leon Thomas,10,49,15.65
22,2,Hell At Night,BigXthaPlug feat. Ella Langley,17,25,15.45
23,-6,wgft,Gunna feat. Burna Boy,14,25,15.43
24,2,A Couple Minutes,Olivia Dean,22,14,15.33
25,-2,4 Raws,EsDeeKid,11,8,15.31
26,-1,DAISIES,Justin Bieber,1(x1),28,14.86
27,=,TIT FOR TAT,Tate McRae,3,18,14.79
28,4,Lush Life,Zara Larsson,28,3,14.72
29,2,I Thought I Saw Your Face Today,She & Him,19,7,14.41
30,-1,Purple Rain,Prince,22,4,13.57
31,3,The Fall,Cody Johnson,22,18,13.09
32,-11,STAY HERE 4 LIFE,A$AP Rocky feat.  Brent Faiyaz,21,2,13.08
33,-5,FDO,Pooh Shiesty,2,7,12.67
34,6,Better Me For You (Brown Eyes),Max McNown,26,33,12.49
35,3,12 to 12,sombr,28,24,12.2
36,-1,Say Why,Zach Bryan,20,3,12.16
37,5,CHANEL,Tyla,24,8,12
38,6,Days Like These,Luke Combs,38,15,11.9
39,10,Who Knows,Daniel Caesar,39,5,11.58
40,-1,No Broke Boys,Disco Lines & Tinashe,31,24,11.55
41,-5,Travelin' Soldier,Cody Johnson,9,12,11.41
42,4,You Stole The Show,SIENNA SPIRO,42,4,11.04
43,-2,Beautiful Things,Megan Moroney,41,8,10.95
