Place,Move,Name,Artist,Peak,Weeks,Points
1,=,Choosin' Texas,Ella Langley,1(x4),20,58.4
2,3,I Just Might,Bruno Mars,1(x2),8,55.08
3,N,Risk It All,Bruno Mars,3,1,53.54
4,9,Stateside,PinkPantheress feat. Zara Larsson,4,7,42.65
5,-3,Man I Need,Olivia Dean,2,28,42.61
6,-2,Ordinary,Alex Warren,1(x5),56,41.86
7,-4,DtMF,Bad Bunny,1(x3),26,34.7
8,-1,Golden,HUNTR/X,1(x13),37,30.79
9,-1,The Fate Of Ophelia,Taylor Swift,1(x12),22,30.33
10,-4,Opalite,Taylor Swift,2,22,30.27
11,-1,So Easy (To Fall In Love),Olivia Dean,9,23,28.97
12,-3,Be By You,Luke Combs,9,3,28.49
13,-1,E85,Don Toliver,12,5,28.47
14,=,Be Her,Ella Langley,14,3,27.03
15,1,Sleepless In A Hotel Room,Luke Combs,13,8,25.18
16,-5,BAILE INoLVIDABLE,Bad Bunny,2,25,24.15
17,1,End Of Beginning,Djo,6,31,24.02
18,1,back to friends,sombr,6,49,23.72
19,N,FEVER DREAM,Alex Warren,19,1,23.45
20,=,Body,Don Toliver,10,5,23.19
21,=,Folded,Kehlani,6,38,22.8
22,8,Babydoll,Dominic Fike,22,3,22.77
23,N,Cha Cha Cha,Bruno Mars,23,1,22.57
24,-1,WHERE IS MY HUSBAND!,RAYE,12,23,22.54
25,-8,NUEVAYoL,Bad Bunny,3,25,21.77
26,-4,Homewrecker,sombr,22,4,21.62
27,-2,What You Saying,Lil Uzi Vert,8,10,21.21
28,N,God Was Showing Off,Bruno Mars,28,1,21.17
29,7,iloveitiloveitiloveit,Bella Kay,29,3,20.96
30,-6,Die On This Hill,SIENNA SPIRO,15,10,20.47
31,-4,20 Cigarettes,Morgan Wallen,16,40,20.35
32,-4,YUKON,Justin Bieber,13,34,20.31
33,-7,The Great Divide,Noah Kahan,3,5,19.08
34,N,Why You Wanna Fight?,Bruno Mars,34,1,18.71
35,3,Aperture,Harry Styles,2,6,17.65
36,4,Let 'Em Know,T.I.,36,5,17.26
37,N,Dance With Me,Bruno Mars,37,1,17.23
38,5,Dracula,Tame Impala,25,23,17.14
39,N,On My Soul,Bruno Mars,39,1,16.89
40,-6,A Couple Minutes,Olivia Dean,22,19,16.22
41,-2,Lush Life,Zara Larsson,28,8,15.86
42,-5,Dandelion,Ella Langley,32,5,15.7
43,-14,Beautiful Things,Megan Moroney,29,13,15.68
44,1,The Fall,Cody Johnson,22,23,15.51
45,N,Something Serious,Bruno Mars,45,1,15.31
46,-15,Wish I Didn't,Megan Moroney,31,4,14.74
47,4,Better Me For You (Brown Eyes),Max McNown,26,38,17.51
48,-1,Amen,Shaboozey & Jelly Roll,44,42,14.68
49,-8,McArthur,"HARDY, Eric Church, Morgan Wallen & Tim McGraw",35,5,14.67
50,N,Nothing Left,Bruno Mars,50,1,13.97
51,-3,12 to 12,sombr,28,29,13.96
52,31,White Keys,Dominic Fike,52,2,13.28
53,=,Days Like These,Luke Combs,38,20,13.08
54,6,Brunette,Tucker Wetmore,50,11,12.99
55,7,Midnight Sun,Zara Larsson,55,6,12.6
56,-4,Change My Mind,Riley Green,52,4,12.6
57,7,Travelin' Soldier,Cody Johnson,9,17,12.26
58,11,POP DAT THANG,DaBaby,58,6,12.26
59,-1,TIT FOR TAT,Tate McRae,3,23,12.13
60,3,I Ain't Comin' Back,Morgan Wallen & Post Malone,7,35,12.06
61,-28,Medicine,Megan Moroney,33,2,11.94
62,-20,butterflies.,Brent Faiyaz,42,3,11.93
63,-7,CHANEL,Tyla,24,13,11.84
64,-7,It Depends,Chris Brown feat. Bryson Tiller,11,32,11.76
65,N,GO,BLACKPINK,65,1,11.48
66,18,Raindance,Dave & Tems,66,5,11.44
67,-2,I Thought I Saw Your Face Today,She & Him,19,12,10.8
68,14,Say Why,Zach Bryan,20,8,10.58
69,1,Who Knows,Daniel Caesar,39,10,10.49
70,5,ATM,Don Toliver,22,6,10.38
71,6,Secondhand,Don Toliver feat. Rema,26,5,10.35
72,6,When Did You Get Hot?,Sabrina Carpenter,13,25,10.34
73,N,B.B.B.,Juvenile & Megan Thee Stallion feat. Genesisthegawd,73,1,10.24
74,5,FDO,Pooh Shiesty,2,12,10.21
75,-4,LA CANCION,Bad Bunny & J Balvin,21,4,9.99
76,5,4 Raws,EsDeeKid,11,13,9.91
77,-45,Good Flirts,Baby Keem feat. Kendrick Lamar & Momo Boyd,32,2,9.89
78,N,Rocky Mountain Low,Corey Kent & Koe Wetzel,78,1,9.83
79,7,Tiramisu,Don Toliver,30,6,9.7
80,10,Nice To Each Other,Olivia Dean,43,18,9.69
81,R,Fame is a Gun,Addison Rae,70,10,9.46
82,R,Ya Borracho,Herencia De Grandes,82,3,9.39
83,2,You Stole The Show,SIENNA SPIRO,42,9,9.24
84,7,How It's Done,HUNTR/X,4,30,9.23
85,9,Gemstone,Don Toliver,38,5,9.23
86,R,Plastic Cigarette,Zach Bryan,12,7,9.09
87,11,Ends of the Earth,Ty Myers,87,8,9.01
88,N,Earrings,Malcolm Todd,88,1,9
89,N,Turn This Truck Around,Jordan Davis,89,1,8.95
90,-24,Two Six,J. Cole,14,4,8.86
91,-11,Gone Gone Gone,"David Guetta, Teddy Swims & Tones And I",48,15,8.59
92,-57,Ca$ino,Baby Keem,35,2,8.56
93,-38,Wedding Dress,Megan Moroney,55,2,8.56
94,R,Call Back,Don Toliver,36,4,8.33
95,4,Ain't A Bad Life,Thomas Rhett & Jordan Davis,95,6,8.31
96,-42,Drag Path,twenty one pilots,54,2,8.24
97,-2,WHO TF IZ U,J. Cole,32,4,7.71
98,R,What He'll Never Have,Dylan Scott,98,2,7.13
99,1,Favorite Country Song,HARDY,46,18,6.79
100,R,Time's Ticking,Justin Moore,99,2,5.94
