Place,Song,Artist,Peak,Weeks,Points
1,Lose Control,Teddy Swims,3,111,4565.86
2,A Bar Song (Tipsy),Shaboozey,1,77,4171.44
3,Beautiful Things,Benson Boone,1,92,3751.01
4,I Had Some Help,Post Malone feat. Morgan Wallen,1,67,3466.22
5,Last Night,Morgan Wallen,1,60,3364.46
6,Not Like Us,Kendrick Lamar,1,53,3150.6
7,Die With a Smile,Bruno Mars & Lady Gaga,1,61,2886.44
8,BIRDS OF A FEATHER,Billie Eilish,2,67,2828.39
9,Espresso,Sabrina Carpenter,4,65,2807.65
10,Flowers,Miley Cyrus,1,56,2499.98
11,Kill Bill,SZA,1,54,2397.26
12,I Remember Everything,Zach Bryan feat. Kacey Musgraves,1,52,2327.71
13,Snooze,SZA,4,72,2253.63
14,luther,Kendrick Lamar feat. SZA,1,47,2243.46
15,Fast Car,Luke Combs,2,57,2180.78
16,Too Sweet,Hozier,1,52,2134.54
17,Ordinary,Alex Warren,1,46,2123.51
18,Anti-Hero,Taylor Swift,1,53,2074.68
19,Cruel Summer,Taylor Swift,1,53,1968.8
20,MILLION DOLLAR BABY,Tommy Richman,2,33,1961.18
21,"Good Luck, Babe!",Chappell Roan,6,52,1795.2
22,Lovin' On Me,Jack Harlow,1,38,1768.5
23,Thinkin' Bout Me,Morgan Wallen,7,55,1748.65
24,Pink Pony Club,Chappell Roan,10,67,1689.25
25,Please Please Please,Sabrina Carpenter,1,38,1670.49
26,Golden,HUNTR/X,1,27,1667.05
27,Calm Down,Rema & Selena Gomez,6,55,1612.33
28,Creepin',"Metro Boomin, The Weeknd & 21 Savage",1,46,1580.9
29,APT.,ROSE & Bruno Mars,3,45,1573.33
30,Die For You,The Weeknd,2,45,1510.68
31,WILDFLOWER,Billie Eilish,17,72,1492.03
32,Something in the Orange,Zach Bryan,3,45,1478.32
33,Love Somebody,Morgan Wallen,1,45,1471.28
34,Paint the Town Red,Doja Cat,1,38,1459.56
35,Like That,"Metro Boomin, Future & Kendrick Lamar",1,33,1456.42
36,Unholy,Sam Smith & Kim Petras,1,35,1455.32
37,I'm the Problem,Morgan Wallen,2,37,1449.08
38,You Proof,Morgan Wallen,2,44,1422.68
39,Stick Season,Noah Kahan,7,52,1415.69
40,Taste,Sabrina Carpenter,1,38,1390.25
41,tv off,Kendrick Lamar feat. Lefty Gunplay,1,31,1356.61
42,Timeless,The Weeknd & Playboi Carti,3,42,1321.02
43,greedy,Tate McRae,2,42,1302.23
44,That's So True,Gracie Abrams,2,38,1281.29
45,Cowgirls,Morgan Wallen feat. ERNEST,13,51,1280.03
46,fukumean,Gunna,3,34,1257.99
47,I'm Good,David Guetta & Bebe Rexha,5,45,1229.24
48,vampire,Olivia Rodrigo,1,37,1209.59
49,Just In Case,Morgan Wallen,1,30,1164.82
50,Rock and a Hard Place,Bailey Zimmerman,10,39,1150.62
51,Who,Jimin,9,33,1147.49
52,What I Want,Morgan Wallen feat. Tate McRae,1,27,1132.04
53,Rich Flex,Drake & 21 Savage,1,28,1109.41
54,squabble up,Kendrick Lamar,1,29,1081.95
55,MUTT,Leon Thomas,10,44,1079.12
56,Favorite Song,Toosii,3,27,1077.74
57,Need a Favor,Jelly Roll,15,48,1076.86
58,Ella Baila Sola,Eslabon Armado & Peso Pluma,2,23,1075.34
59,As It Was,Harry Styles,6,38,1068.29
60,Saturn,SZA,6,36,1054.44
61,Under the Influence,Chris Brown,7,40,1054.08
62,Stargazing,Myles Smith,34,52,1030.97
63,Pink Skies,Zach Bryan,6,25,1006.79
64,Agora Hills,Doja Cat,6,39,998.46
65,Boy's a liar,PinkPantheress & Ice Spice,3,22,978.41
66,NOKIA,Drake,2,28,975.88
67,All My Life,Lil Durk feat. J. Cole,2,25,975.05
68,Dance the Night,Dua Lipa,7,36,972.03
69,Thank God,Kane Brown & Katelyn Brown,14,40,967.99
70,Austin,Dasha,17,37,951.02
71,Just Wanna Rock,Lil Uzi Vert,6,32,950.83
72,Good News,Shaboozey,29,47,948.73
73,Sailor Song,Gigi Perez,15,38,947.08
74,The Fate Of Ophelia,Taylor Swift,1,12,938.18
75,back to friends,sombr,7,39,938.13
76,No One Noticed,The Marias,16,41,933.97
77,30 for 30,SZA feat. Kendrick Lamar,8,37,928.01
78,Bad Habit,Steve Lacy,1,24,923.32
79,Fortnight,Taylor Swift feat. Post Malone,1,20,915.31
80,Karma,Taylor Swift,4,33,895.47
81,Thought You Should Know,Chris Stapleton,6,32,884.59
82,What Was I Made For?,Billie Eilish,10,37,882.26
83,All the Way,BigXthaPlug & Bailey Zimmerman,3,28,872.26
84,High Road,Koe Wetzel & Jessie Murph,22,40,866.11
85,Love Me Not,Ravyn Lenae,8,34,863.31
86,Water,Tyla,4,30,862.76
87,I Got Better,Morgan Wallen,6,28,861.46
88,Miles On It,Marshmello & Kane Brown,19,30,854.38
89,we can't be friends,Ariana Grande,1,24,824.7
90,Wild Ones,Jessie Murph & Jelly Roll,19,36,824.21
91,Sure Thing,Miguel,14,29,814.64
92,Lies Lies Lies,Morgan Wallen,7,23,806.84
93,Manchild,Sabrina Carpenter,1,25,800.5
94,Ain't No Love In Oklahoma,Luke Combs,13,27,798.23
95,Your Idol,Saja Boys,3,23,791.55
96,I Am Not Okay,Jelly Roll,15,32,789.53
97,Lavender Haze,Taylor Swift,2,29,785.28
98,golden hour,JVKE,10,30,779.81
99,I Can Do It With a Broken Heart,Taylor Swift,3,31,776.8
100,Worst Way,Riley Green,25,38,776.47
